Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,Daily_Return,Volatility
2020-03-12,485.37816384371683,492.5357890300457,469.13923040549446,475.536376953125,55970485,564.8481231689453,645.8150421142578,-0.07849679025148593,0.046842788999844225
2020-03-13,446.45838815033005,509.98250923399024,421.58557799627334,494.4593811035156,73297403,552.2797424316407,642.1977465820313,0.03979296867178661,0.050954539825138735
2020-03-16,474.4403385952524,483.00714524632815,449.58986531183916,454.3765563964844,38482258,538.2798370361328,637.5488531494141,-0.08106393818957569,0.054142888352889745
2020-03-17,468.49050072051966,474.19426900063905,448.78462201274766,450.9319152832031,45445979,524.4946533203125,632.8145141601562,-0.00758102737649935,0.05420484673237712
2020-03-18,458.6711544738802,463.41311163950786,429.9063628131876,433.2615051269531,44730415,507.7480010986328,628.0457305908203,-0.039186426059801716,0.05190537645792508
2020-03-19,411.6095658236809,432.59042415452996,399.12841250234374,410.5359191894531,61404010,488.86969604492185,622.6157568359375,-0.05245235422159422,0.05125863228519536
2020-03-20,420.2882223245293,462.9657149231966,416.03836966442924,455.3830871582031,63360475,475.75330505371096,618.1851702880859,0.10924054600945654,0.06895622473209304
2020-03-23,409.86486186475844,424.9854120443488,391.7247049147837,395.48248291015625,40670949,458.44298400878904,612.2447674560547,-0.13153893049004917,0.07712246656431138
2020-03-24,416.03838849257653,433.9325104811008,400.73893016882965,422.0329284667969,45734887,450.80443420410154,606.8385046386719,0.0671343149291197,0.0758128107473415
2020-03-25,431.15890365113535,515.1494078462537,430.912866475202,484.1478576660156,73130298,447.61480102539065,602.7098822021485,0.14718029094287988,0.09067229271537212
2020-03-26,490.209558827126,499.64870950698065,466.29852893357656,476.9678955078125,45744488,447.75795288085936,598.5656011962891,-0.014830102094877229,0.0869159609316694
2020-03-27,489.8516259919914,495.3540612398386,468.02079126607595,476.6994323730469,41657940,445.9819580078125,594.4656103515625,-0.0005628536790297511,0.08598424256960285
2020-03-30,465.51565999753865,480.815118140311,456.30017996614265,460.9750061035156,30229866,446.6418029785156,589.9254254150391,-0.03298603942373879,0.08223298585191292
2020-03-31,480.43484934010263,505.4194933506304,468.8260394087323,498.239501953125,44292810,451.3725616455078,585.7449090576172,0.08083843018864534,0.0854858549833317
2020-04-01,502.04201634176945,503.09329603601816,467.5734864710347,483.3426818847656,41597459,456.38067932128905,581.7017321777344,-0.029898914096459728,0.0849009102777068
2020-04-03,507.4997254458984,507.4997254458984,472.5390630031507,482.0005798339844,41367807,463.5271453857422,577.6178448486328,-0.002776709157047308,0.08196960862393261
2020-04-07,493.02792725045947,543.0867222762461,492.0884825342907,539.5526733398438,54373624,471.94410400390626,574.6899200439453,0.11940253998383588,0.08326295663969373
2020-04-08,527.8766770166352,549.7970116946221,518.9296308909336,533.31201171875,49880330,485.7270568847656,571.6953387451172,-0.011566362154159848,0.06577778052704367
